Datetime,Tweet Id,Text,Username
2021-05-26 10:05:14+00:00,1397494027063287808,@MSNBC @maddow TRUMP KNEW.  HE WAS PART OF ALL OF IT.  HE MUST BE PROSECUTED! @AGOUSOA,erin_luckyerin
2021-05-26 10:05:14+00:00,1397494026366951427,Trump claims âabsolute immunityâ and cites First Amendment in defense against new Capitol riot lawsuit     https://t.co/9HUqPEibPl https://t.co/RZhk3LBWXA,lindaikeji
2021-05-26 10:05:13+00:00,1397494021816262656,"@MiddleEastEye It doens`t matter if he`s a Trump supporter/Bidens supporter both parties are zionists, both blocks every draft resolution at the UN, on Palestinians issues. The killing/suffering/humiliation must stop. A Sovereign Palestinian Nation embedded with all its rights must be restored.",boscogonc
2021-05-26 10:05:13+00:00,1397494021086400515,@Kathryn07605199 @richardmarx Does your logic apply to Kid Rock? Ted Nugent? Even......Donald Trump?,LisaParker4412
2021-05-26 10:05:12+00:00,1397494018301382660,Bolsonaristas. Trump empurrou a cloroquina pro Brasil e enganou vcs babacas. https://t.co/G3I7Egz4g7,RadioProletrio
2021-05-26 10:05:10+00:00,1397494007010365441,"Trump killed tens of thousands in America by calling #COVID19 a #hoax"". #dominiccummimgs reveals #BorisJohnson called #COVIDEmergency a ""scare story"" and thousands died here because of his inaction. #bloodonhandsBoris",kevonhissoapbox
2021-05-26 10:05:08+00:00,1397494000475680772,"AWESOME! Trump Protesters Encircle Michigan GOP HQ, Demand Resignation of NeverTrump Executive Director Jason Roe (VIDEO) https://t.co/0lgwO7uPXj via @gatewaypundit",AngelaR65696516
2021-05-26 10:05:08+00:00,1397493999812939780,VIDEO - Trump: I Had No Doubt the Virus Came out of Wuhan  @realDonaldTrump https://t.co/CK2IU92U2G,GrabienMedia
2021-05-26 10:05:05+00:00,1397493986089074689,"I don't mind the once standwithvic crowd but fuck me.. why is one of the most prominent people a deluded Trump fanatic... 

HE FUCKING LOST, as trumpists say ""Get over it, you lost"" 

Like FML checking for bamboo? Really? I never knew IWV was a splinter group of QANON?!",NewLunarRepulic
2021-05-26 10:05:05+00:00,1397493985850101765,"Evangelicals are indoctrinated by their mega preacher..most don’t really like trump but must act like they do to ..belong.,to the #cult! #MindControl weak minds easily manipulated weak minds! https://t.co/rPc5Wh5oL0",CastonChris
2021-05-26 10:05:02+00:00,1397493973711736833,Trump responds to insurrection lawsuit by claiming immunity while he was president https://t.co/E32cvQjvSx via @CTVNews,cmctgue4
2021-05-26 10:05:02+00:00,1397493973569187847,trump ADMITS BEING A WITCH 🧙‍♀️ A HUNTING WE WILL GO🎼,LgSmith37428553
2021-05-26 10:05:02+00:00,1397493973011386373,Any Office fans out there?  Trump’s memos remind of when Ryan set Creed up with a “blog” but really he just opened up a Word Dic for him.  Same thing happening with TFG 🤣😂,JMS52570594
2021-05-26 10:05:01+00:00,1397493972327538688,@petajan @ScottMorrisonMP and @LiberalAus has gone full Trump.,arian_alb
2021-05-26 10:05:00+00:00,1397493966346596354,"ABD'de Koronavirüs'ün kaynağına ilişkin tartışmalara Trump da katıldı: ""Şimdi herkes 'Sen haklıydın' diyor""
https://t.co/EP74xwsUYR https://t.co/jrEB9giNP5",t24comtr
2021-05-26 10:05:00+00:00,1397493965927063552,"@Starbuckwbc @JackPosobiec So millions of people around the world(not just US) got sick, died, countries shut down, India is in a disaster right now, because of Trump. Plz, he wasn’t that important LOL",Imnotyou1103
2021-05-26 10:04:59+00:00,1397493962680659970,@washingtonpost @granolalesbian Exactly how many individuals did tRump pardon?! I've never heard of so many! There should be an extreme few!,EasyToKnow7
2021-05-26 10:04:59+00:00,1397493962533789698,"Why would Biden DOJ  suppress Barr memo to not indict Trump on obstruction of justice.  The American people have a right to know. Plus, Barr should be disbarred. https://t.co/T3pdVp3Sdj",AnnaAjhughes408
